,source,title,link,Notes,date
0,National Review,Debunking Sheldon Whitehouse’s Supreme Court Propaganda,https://www.nationalreview.com/2021/06/debunking-sheldon-whitehouses-supreme-court-propaganda/,"<div class=""post-list-article__entry"">

								
													
															The Court is legitimate, popular, and not in need of the Left’s preferred partisan fixes.									
							</div>",
1,National Review,Abortion Is No Way to Celebrate the Gift of Women,https://www.nationalreview.com/2021/06/abortion-as-womens-health-care-no-its-time-to-celebrate-the-gift-of-women/,"<div class=""post-list-article__entry"">

								
													
															The world needs us to value women and men and their complementarity. It’s the only way to peace and sanity.									
							</div>",
2,National Review,Wokeness Comes to Philanthropy,https://www.nationalreview.com/2021/06/wokeness-comes-to-philanthropy/,"<div class=""post-list-article__entry"">

								
													
															It is already politicizing charitable organizations. It may also destroy them.									
							</div>",
3,National Review,Iran’s Misery and the Miserable State of the Iranian Rial,https://www.nationalreview.com/2021/06/irans-misery-and-the-miserable-state-of-the-iranian-rial/,"<div class=""post-list-article__entry"">

								
													
															As Iran heads to a presidential election on June 18, its economy is a shambles. There’s a partial solution — if its rulers are interested.									
							</div>",
4,National Review,It’s Time for Biden to Get Tough on Russia,https://www.nationalreview.com/2021/06/its-time-for-biden-to-get-tough-on-russia/,"<div class=""post-list-article__entry"">

								
													
															All eyes will be on the upcoming Biden–Putin summit.									
							</div>",
5,National Review,The Revolt against Left-Wing Schooling,https://www.nationalreview.com/2021/06/the-revolt-against-left-wing-schooling/,"<div class=""post-list-article__entry"">

								
													
															The struggle ongoing in public schools reflects a battle between the historic nation and the ideological nation.									
							</div>",
6,National Review,Untangling My American Flag,https://www.nationalreview.com/2021/06/untangling-my-american-flag/,"<div class=""post-list-article__entry"">

								
													
															What are people expressing when they display a flag in front of their home but fail to take care of it? Surely nothing as simple as contempt for the nation.									
							</div>",
7,National Review,Chip Roy Charts His Own Course in the House,https://www.nationalreview.com/2021/06/chip-roy-charts-his-own-course-in-the-house/,"<div class=""post-list-article__entry"">

								
													
															The Texas congressman stood athwart efforts to overturn the 2020 election, but since January he’s taken a very different path from Liz Cheney’s. It might not be enough to spare ...									
							</div>",
0,Politico,Supreme Court: First Step Act snubs some drug offenders,https://www.politico.com/news/2021/06/14/supreme-court-first-step-act-drug-offenders-494309,"The unanimous ruling rejects the Biden administration's interpretation of the sentencing reform law.
",06/14/21 11:13 AM EDT
1,Politico,NATO searches for brain life ,https://www.politico.com/news/2021/06/14/nato-summit-new-strategy-494287,"The military alliance is looking to pivot to China and push back on Russia as President Biden prepares to meet President Putin.
",06/14/21 06:53 AM EDT
2,Politico,"Biden, Erdogan set to meet amid rocky relations",https://www.politico.com/news/2021/06/14/biden-erdogan-set-to-meet-493537,"However the meeting in Brussels turns out, there’s little chance the relationship collapses even if tensions remain high. 
",06/14/21 04:31 AM EDT
3,Politico,'Full of s---': Candidates warned not to fake Trump endorsement,https://www.politico.com/news/2021/06/14/candidates-fake-trump-endorsement-494100,"The former president's team is getting more aggressive about policing GOP candidates who claim Trump's support before he's endorsed.
",06/14/21 04:30 AM EDT
4,Politico,Texas Dems amp up voting rights pressure with D.C. blitz,https://www.politico.com/news/2021/06/14/texas-democrats-voting-rights-494281,"Democratic state legislators in Texas are heading to Washington for meetings with Congress and the White House after blocking a GOP elections bill last month.
",06/14/21 04:30 AM EDT
5,Politico,House GOP prays Trump can kick his habit of 2020 grievances,https://www.politico.com/news/2021/06/13/trump-house-gop-election-493545,"As Republicans strategize with Donald Trump on how to retake the House in 2022, they worry his focus on false claims about the 2020 election will create an uncomfortable litmus test.
",06/14/21 04:30 AM EDT
6,Politico,‘Poor Chuck’: Schumer confronts midyear mess,https://www.politico.com/news/2021/06/14/chuck-schumer-midyear-mess-senate-493525,"Defections are looming. The clock is ticking. But the majority leader is projecting confidence: ""Unity brings us strength and success.""
",06/14/21 04:30 AM EDT
7,Politico,Anti-vax groups rack up victories against Covid-19 push,https://www.politico.com/news/2021/06/14/anti-vax-groups-covid-victories-493482,"Anti-vaccine fervor spread more widely during the pandemic as the U.S. government urged people to get vaccinated as soon as possible.
",06/14/21 04:30 AM EDT
0,Foreign Affairs,The Time Is Now for a Trade Deal With Taiwan,http://www.cfr.org/blog/time-now-trade-deal-taiwan,notes,idate
1,Foreign Affairs,What’s Causing a Humanitarian Crisis in Yemen?,http://www.cfr.org/video/whats-causing-humanitarian-crisis-yemen,notes,idate
2,Foreign Affairs,What to Know About the Border Conflict Between China and India,http://www.cfr.org/video/what-know-about-border-conflict-between-china-and-india,notes,idate
3,Foreign Affairs,The Link Between Foreign Languages and U.S. National Security,http://www.cfr.org/event/link-between-foreign-languages-and-us-national-security,notes,idate
4,Foreign Affairs,Aung San Suu Kyi’s Major Speech on Rakhine State,http://www.cfr.org/blog/aung-san-suu-kyis-major-speech-rakhine-state,notes,idate
5,Foreign Affairs,Creating a State Department Office for American State and Local Diplomacy,http://www.cfr.org/report/creating-state-department-office-american-state-and-local-diplomacy,notes,idate
6,Foreign Affairs,Books & Reports,http://www.cfr.org/books-reports,notes,idate
7,Foreign Affairs,The U.S. War in Afghanistan,http://www.cfr.org/timeline/us-war-afghanistan,notes,idate
